NRC;Periodo;Asignatura;Momento;Salon;Tipo;Id_Docente;Responsable;Sede_Docente;Ubicaci¢n;Tipo_Curso;Plantilla;Total_Alistamiento;Total_Ejecucion;Total_Curso;Valoracion;Email_Enviado
30-348;202430;Fundamentos de Trabajo Social;3;B3-304;1;228665;TRSO;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-349;202430;Com Escrita y Proce Lect II;3;B3-304;1;803692;CSOD;IBA;IBA;PP;CRIBA;46,92307692;50;96,92307692;Desempe§o Excelente;-
30-350;202430;L¢gica Argumentativa;3;B3-307;1;539534;LPID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-357;202430;Fundamentos de Psicolog°a;3;B3-304;1;445883;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-359;202430;Epistemolog°a de Ciencias Soci;3;B3-304;1;947897;TRSOP;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-362;202430;Fundamentos de Sociolog°a;3;B3-307;1;947897;TRSOP;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-363;202430;Introducci¢n a la Investigaci¢;3;B3-305;1;439677;TRSO;IBA;IBA;PP;CRIBA;46,92307692;50;96,92307692;Desempe§o Excelente;SI
30-364;202430;Emprendimiento;3;B3-304;1;845364;AEMD;IBA;IBA;PP;CRIBA;46,92307692;50;96,92307692;Desempe§o Excelente;SI
30-366;202430;Trabajo Social de Caso y Famil;3;B3-303;1;363976;TRSO;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-3748;202430;Electiva Cpc;3;SALA B;1;936393;CSOD;IBA;IBA;PP;CRIBA;30;50;80;Desempe§o Bueno;SI
30-375;202430;Antropolog°a Social y Cultura;3;B2-303;1;947897;TRSOP;IBA;IBA;PP;CRIBA;38,46353846;50;88,46353846;Desempe§o Bueno;SI
30-3750;202430;Investigaci¢n en Contexto Audi;3;305;1;802606;CSOD;IBA;IBA;PP;CRIBA;30;50;80;Desempe§o Bueno;SI
30-3753;202430;êtica Profesional;3;202;1;803692;CSOD;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;-
30-3752;202430;Taller de Guion Documental;3;204;1;764485;CSOD;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;-
30-3755;202430;Taller de Investigac Aplicada;3;202;1;932047;TRAU;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-3757;202430;Taller de Guion Argumental;3;305;1;764485;CSOD;IBA;IBA;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-376;202430;Desarrollo Social Contempor†ne;3;B2-304;1;985935;CED;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;SI
30-3763;202430;Taller de Producci¢n para Real;3;SALA A;1;802606;CSOD;IBA;IBA;PP;CRIBA;30;50;80;Desempe§o Bueno;SI
30-3763;202430;Realizaci¢n de Documentos;3;303;1;802606;CSOD;IBA;IBA;PP;CRIBA;30;50;80;Desempe§o Bueno;SI
30-3765;202430;Pr†ctica Profesional;3;305;1;845393;CSOD;IBA;IBA;PP;CRIBA;36,92307692;50;86,92307692;Desempe§o Bueno;SI
30-202;202430;Trabajo Social de Grupo;3;B3-303;1;363976;TRSO;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-206;202430;Investigaci¢n en Ciencias Soci;3;B3-304;1;947897;TRSOP;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-233;202430;Pensamiento Econ¢mico;3;B2-303;1;537748;AEMD;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-234;202430;Estad°stica para las Ciencias;3;B2-302;1;732370;AEMD;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-235;202430;Practica Responsabilidad Socia;3;B2-302;1;985935;CED;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;SI
30-236;202430;Trabajo Social de Comunidad;3;B3-304;1;228665;TRSO;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-237;202430;Investigaci¢n Cuantitativa;3;SALA B;1;483499;PSID;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-238;202430;Teor°as de la Comunidad;3;B2-304;1;439677;TRSO;IBA;IBA;PP;CRIBA;46,92307692;50;96,92307692;Desempe§o Excelente;SI
30-239;202430;Pol°tica P£blica;3;B2-305;1;439677;TRSO;IBA;IBA;PP;CRIBA;46,92307692;50;96,92307692;Desempe§o Excelente;SI
30-220;202430;Administraci¢n y Planificaci¢n;3;B2-304;1;782232;AEMD;IBA;IBA;PP;CRIBA;38,46353846;50;88,46353846;Desempe§o Bueno;SI
30-223;202430;Pedagog°a Social y Educaci¢n;3;B3-302;1;539534;LPID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-222;202430;Seminario de Profundizaci¢n;3;B3-303;1;363976;TRSO;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-223;202430;Investigaci¢n Cualitativa;3;B3-302;1;695633;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-224;202430;Legislaci¢n Social;3;B2-305;1;985954;TRSO;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-233;202430;êtica Profesional;3;B3-307;1;985954;TRSO;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-232;202430;Proyecto Social;3;B3-307;1;985954;TRSO;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-234;202430;Pr†ctica Profesional 3;3;B3-305;1;439677;TRSO;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-235;202430;Cmd Derechos Humanos;3;B3-303;1;845393;CSOD;IBA;IBA;PP;CRIBA;30;50;80;Desempe§o Bueno;SI
30-236;202430;Seminario de Acci¢n del Trabaj;3;B3-302;1;228665;TRSO;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-237;202430;Sistematizaci¢n en Trabajo Soc;3;B3-302;1;985954;TRSO;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-238;202430;Pr†ctica Profesional 2;3;B3-303;1;363976;TRSO;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-239;202430;L¢gica Matem†tica;3;B2-303;1;986086;ISUM;IBA;IBA;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-242;202430;Proyecto de Vida;3;B2-303;1;370873;AEMD;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-245;202430;Com Escrita y Proce Lect I;3;B3-303;1;53930;CSOD;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-304;202430;Geograf°a Tur°stica Nacional;3;B3-303;1;946743;AETH;IBA;IBA;PP;CRIBA;37,69230769;50;87,69230769;Desempe§o Bueno;SI
30-402;202430;Administraci¢n de la Hospitali;3;B3-303;1;984452;AETH;IBA;IBA;PP;CRIBA;36,35384635;50;86,35384635;Desempe§o Bueno;SI
30-403;202430;Desarrollo Social Contempor†ne;3;B2-303;1;985935;CED;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;SI
30-470;202430;Herramientas de Gesti¢n Comuni;3;B3-305;1;228665;TRSO;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-5897;202430;Com Escrita y Proce Lect I;3;SALA A;1;535293;CSOD;IBA;IBA;PP;INNOVAME;35;50;85;Desempe§o Bueno;SI
30-5903;202430;Com Escrita y Proce Lect I;3;204;1;803692;CSOD;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;-
30-59063;202430;Practica Responsabilidad Socia;3;302;1;985935;CED;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;SI
30-59066;202430;Semi¢tica;3;305;1;335769;CSOD;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;SI
30-59068;202430;Electiva Cp;3;SALA B;1;936393;CSOD;IBA;IBA;PP;CRIBA;43,84635385;50;93,84635385;Desempe§o Excelente;SI
30-59073;202430;Proyecto de Vida;3;203;1;483499;PSID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-59072;202430;Com Escrita y Proce Lect II;3;SALA A;1;535293;CSOD;IBA;IBA;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-59228;202430;Programaci¢n B†sica;3;SALA B;1;575655;ISUM;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;SI
30-59233;202430;Introd a la Ingenie de Sistem;3;SALA B;1;984448;ISUM;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-5927;202430;Proyecto de Vida;3;203;1;405853;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;SI
30-5928;202430;Proyecto de Vida;3;204;1;483499;PSID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-5929;202430;Psicobiolog°a;3;303;1;36332382;LPID;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-5930;202430;Psicobiolog°a;3;202;1;367778;PSID;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;-
30-5935;202430;Epistemol para las Cienc Socia;3;204;1;483499;PSID;IBA;IBA;PP;CRIBA;40;50;90;Desempe§o Bueno;SI
30-59352;202430;Practica Responsabilidad Socia;3;B2-304;1;985935;CED;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;SI
30-5936;202430;Epistemol para las Cienc Socia;3;305;1;335365;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-5937;202430;Introducci¢n a la Psicolog°a;3;203;1;479699;PSID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-5938;202430;Introducci¢n a la Psicolog°a;3;202;1;445883;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-59572;202430;Electiva Cpc;3;B2-303;1;402379;LPID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-60373;202430;L¢gica Matem†tica;3;B2-303;1;986086;ISUM;IBA;IBA;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-60373;202430;Introd a la Ingenie de Sistem;3;SALA B;1;984448;ISUM;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-60374;202430;Com Escrita y Proce Lect I;3;B2-302;1;53930;CSOD;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-60375;202430;Programaci¢n B†sica;3;SALA B;1;986003;ISUM;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-63746;202430;Electiva Cp;3;B3-303;1;228665;TRSO;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-63747;202430;Trabajo Social y Salud Mental;3;SALA A;1;985954;TRSO;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-63748;202430;Electiva Cp;3;B3-303;1;439677;TRSO;IBA;IBA;PP;CRIBA;46,92307692;50;96,92307692;Desempe§o Excelente;SI
30-63749;202430;Opci¢n de Grado;3;VIRTU;2;0;-;No Encontrada;-;PP;CRIBA;50;0;50;Desempe§o insatisfactorio;-
30-63750;202430;Electiva Cpc;3;B3-303;1;947897;TRSOP;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-63798;202430;Com Escrita y Proce Lect II;3;303;1;764485;CSOD;IBA;IBA;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-63803;202430;Com Escrita y Proce Lect II;3;302;1;535293;CSOD;IBA;IBA;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-63802;202430;Introducci¢n a la Investigaci¢;3;302;1;695633;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-63804;202430;Introducci¢n a la Investigaci¢;3;303;1;695633;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-63809;202430;Pensamiento L¢gico Matem†tico;3;303;1;279382;ADFU;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-63832;202430;Pensamiento L¢gico Matem†tico;3;302;1;279382;ADFU;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-63838;202430;Teor°a Psicoanal°tica;3;303;1;335365;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-63820;202430;Teor°a Psicoanal°tica;3;302;1;479699;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;SI
30-63822;202430;Enfoque Conductista;3;303;1;433793;PSID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-63823;202430;Enfoque Conductista;3;302;1;445883;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-63826;202430;Cerebro y Comportamiento;3;302;1;36332382;LPID;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-63830;202430;Cerebro y Comportamiento;3;303;1;367778;PSID;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;-
30-63926;202430;Emprendimiento;3;303;1;782232;AEMD;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-62235;202430;C†tedra Minuto de Dios;3;VIRTU;2;986303;LCNA;IBA;IBA;PP;INNOVAME;50;0;50;Desempe§o insatisfactorio;-
30-62236;202430;C†tedra Minuto de Dios;3;VIRTU;2;402379;LPID;IBA;IBA;PP;INNOVAME;50;0;50;Desempe§o insatisfactorio;-
30-62237;202430;C†tedra Minuto de Dios;3;VIRTU;2;402379;LPID;IBA;IBA;PP;INNOVAME;50;0;50;Desempe§o insatisfactorio;-
30-62243;202430;C†tedra Minuto de Dios;3;VIRTU;2;404250;LEID;IBA;IBA;PP;CRIBA;50;0;50;Desempe§o insatisfactorio;-
30-62369;202430;Com Escrita y Proce Lect II;3;B2-302;1;535293;CSOD;IBA;IBA;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-62370;202430;C†lculo Diferencial;3;B2-305;1;984450;ISUM;IBA;IBA;PP;VACIO;0;0;0;No evaluada;-
30-62373;202430;µlgebra Lineal;3;B2-304;1;335652;ASOD;IBA;IBA;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-62373;202430;Metodolog°a de Investigaci¢n;3;SALA A;1;986003;ISUM;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-62376;202430;Com Escrita y Proce Lect II;3;B2-302;1;764485;CSOD;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-62378;202430;µlgebra Lineal;3;SALA B;1;984450;ISUM;IBA;IBA;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-62380;202430;Programaci¢n Orientada A Objet;3;SALA A;1;676367;ISUM;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-62383;202430;Metodolog°a de Investigaci¢n;3;SALA B;1;986003;ISUM;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-62385;202430;Programaci¢n Orientada A Objet;3;SALA A;1;676367;ISUM;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-62386;202430;C†lculo Diferencial;3;B2-303;1;873405;ADFU;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-62402;202430;Emprendimiento;3;B2-305;1;946743;AETH;IBA;IBA;PP;CRIBA;38,46353846;50;88,46353846;Desempe§o Bueno;SI
30-62403;202430;Fundamentos de Mercado;3;B3-303;1;845364;AEMD;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-62404;202430;Patrimonio Cultural;3;B3-303;1;946743;AETH;IBA;IBA;PP;CRIBA;38,46353846;50;88,46353846;Desempe§o Bueno;SI
30-62405;202430;Electiva Cpc;3;B2-305;1;946743;AETH;IBA;IBA;PP;CRIBA;30;50;80;Desempe§o Bueno;SI
30-62406;202430;Matem†tica Financiera;3;B3-303;1;335480;ADFU;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-62434;202430;Fundamentos de Investigaci¢n;3;203;1;802606;CSOD;IBA;IBA;PP;CRIBA;30;50;80;Desempe§o Bueno;SI
30-62435;202430;Escrituras Narrativas;3;203;1;764485;CSOD;IBA;IBA;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-62436;202430;Nivel Principiante;3;VIRTU;2;765089;AEMD;IBA;IBA;PP;INNOVAME;50;0;50;Desempe§o insatisfactorio;-
30-62437;202430;Taller de Sonido Directo;3;SALA A;1;932047;TRAU;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-62443;202430;Taller de Direcci¢n de Fotogra;3;203;1;838355;CSOD;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-62442;202430;Nivel Principiante;3;VIRTU;2;765089;AEMD;IBA;IBA;PP;INNOVAME;50;0;50;Desempe§o insatisfactorio;-
30-62452;202430;Taller de Posproducci¢n Sonora;3;303;1;932047;TRAU;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-62459;202430;Planeaci¢n de Proyectos Audiov;3;305;1;932047;TRAU;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-62462;202430;Realizaci¢n Argumental;3;305;1;764485;CSOD;IBA;IBA;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-62466;202430;Taller de Direcci¢n de Arte;3;203;1;838355;CSOD;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-62468;202430;Opci¢n de Grado;3;VIRTU;2;335769;CSOD;IBA;IBA;PP;CRIBA;50;30;60;Desempe§o insatisfactorio;-
30-62472;202430;Electiva Cpc;3;303;1;948372;TRSOP;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-62473;202430;Electiva Cpc;3;203;1;845403;ADFU;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-62702;202430;Proyecto de Vida;3;B3-305;1;370873;AEMD;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-63374;202430;Taller de Direcci¢n de Actores;3;203;1;838355;CSOD;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-66352;202430;Com Escrita y Proce Lect I;3;SALA 3;1;535293;CSOD;IBA;IBA;PP;INNOVAME;35;50;85;Desempe§o Bueno;SI
30-66353;202430;Proyecto de Vida;3;SALA 3;1;650528;AEMD;LERIDA;NORTE;PP;CRIBA;46,92307692;50;96,92307692;Desempe§o Excelente;SI
30-66354;202430;Emprendimiento;3;SALA 2;1;986093;ISUM;LERIDA;NORTE;PP;INNOVAME;45;50;95;Desempe§o Excelente;SI
30-66355;202430;Estructura de Datos;3;SALA 2;1;986093;ISUM;LERIDA;NORTE;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-66362;202430;L¢gica Matem†tica;3;SALA 3;1;958058;ISUM;LERIDA;NORTE;PP;CRIBA;38,46353846;50;88,46353846;Desempe§o Bueno;SI
30-66363;202430;Introd a la Ingenie de Sistem;3;SALA 3;1;986093;ISUM;LERIDA;NORTE;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-66364;202430;Programaci¢n B†sica;3;SALA 3;1;986093;ISUM;LERIDA;NORTE;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-66366;202430;C†lculo Integral;3;B2-303;1;984450;ISUM;IBA;IBA;PP;VACIO;0;0;0;No evaluada;-
30-66367;202430;C†lculo Integral;3;B2-303;1;984450;ISUM;IBA;IBA;PP;VACIO;0;0;0;No evaluada;-
30-66368;202430;C†lculo Integral;3;3;1;958058;ISUM;LERIDA;NORTE;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-66373;202430;F°sica Mec†nica;3;3;1;650528;AEMD;LERIDA;NORTE;PP;CRIBA;40;50;90;Desempe§o Bueno;SI
30-66373;202430;F°sica Mec†nica;3;B2-303;1;986086;ISUM;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-66374;202430;Emprendimiento;3;B3-306;1;266878;AEMD;LERIDA;NORTE;PP;CRIBA;46,92307692;50;96,92307692;Desempe§o Excelente;SI
30-66375;202430;Emprendimiento;3;B3-305;1;435726;AEMD;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;SI
30-66376;202430;F°sica Mec†nica;3;B2-302;1;986086;ISUM;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-66377;202430;Emprendimiento;3;B2-303;1;602083;AEMD;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-66425;202430;Psicobiolog°a;3;202;1;36332382;LPID;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-66426;202430;Psicobiolog°a;3;303;1;367778;PSID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;-
30-66427;202430;Epistemol para las Cienc Socia;3;303;1;335365;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-66428;202430;Epistemol para las Cienc Socia;3;305;1;695633;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-66429;202430;Introducci¢n a la Psicolog°a;3;303;1;483499;PSID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-66430;202430;Introducci¢n a la Psicolog°a;3;302;1;36332382;LPID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-66443;202430;Estad°stica para las Cienc I;3;SALA A;1;987846;ESP;IBA;IBA;PP;VACIO;0;0;0;No evaluada;-
30-66444;202430;Estad°stica para las Cienc I;3;202;1;987846;ESP;IBA;IBA;PP;VACIO;0;0;0;No evaluada;-
30-66445;202430;Estad°stica para las Cienc I;3;303;1;987846;ESP;IBA;IBA;PP;VACIO;0;0;0;No evaluada;-
